Instrument,Horizon,Model,RMSE,MAE,MAPE
AAPL,1,ARIMA,5.0087,5.0087,2.11
AAPL,1,LSTM,3.6807,3.6807,1.55
AAPL,1,ENSEMBLE,4.3447,4.3447,1.83
AAPL,3,ARIMA,12.7874,11.514,4.99
AAPL,3,LSTM,12.119,10.4442,4.54
AAPL,3,ENSEMBLE,12.4404,10.9791,4.76
AAPL,7,ARIMA,inf,inf,inf
AAPL,7,LSTM,inf,inf,inf
AAPL,7,ENSEMBLE,inf,inf,inf
AAPL,14,ARIMA,inf,inf,inf
AAPL,14,LSTM,inf,inf,inf
AAPL,14,ENSEMBLE,inf,inf,inf
MSFT,1,ARIMA,2.3205,2.3205,0.47
MSFT,1,LSTM,4.5837,4.5837,0.92
MSFT,1,ENSEMBLE,3.4521,3.4521,0.69
MSFT,3,ARIMA,2.6604,2.6323,0.53
MSFT,3,LSTM,7.0606,6.7556,1.35
MSFT,3,ENSEMBLE,4.8485,4.694,0.94
MSFT,7,ARIMA,inf,inf,inf
MSFT,7,LSTM,inf,inf,inf
MSFT,7,ENSEMBLE,inf,inf,inf
MSFT,14,ARIMA,inf,inf,inf
MSFT,14,LSTM,inf,inf,inf
MSFT,14,ENSEMBLE,inf,inf,inf
BTC-USD,1,ARIMA,2437.7809,2437.7809,2.14
BTC-USD,1,LSTM,2618.1082,2618.1082,2.3
BTC-USD,1,ENSEMBLE,2527.9445,2527.9445,2.22
BTC-USD,3,ARIMA,3735.4891,3632.0872,3.15
BTC-USD,3,LSTM,4179.8741,4043.7569,3.5
BTC-USD,3,ENSEMBLE,3957.4012,3837.9221,3.33
BTC-USD,7,ARIMA,inf,inf,inf
BTC-USD,7,LSTM,inf,inf,inf
BTC-USD,7,ENSEMBLE,inf,inf,inf
BTC-USD,14,ARIMA,inf,inf,inf
BTC-USD,14,LSTM,inf,inf,inf
BTC-USD,14,ENSEMBLE,inf,inf,inf
